,white_username,black_username,url,UTCDate,StartTime,end_time,Result,white_user_class,black_user_class,start_date_time
636,akfunchess66,AGcuber19,https://www.chess.com/game/live/75511309025,2023.04.17,22:59:26,23:20:36,1-0,BO,BO,2023-04-17 22:59:26
1193,Marsboom,zora_zhu,https://www.chess.com/game/live/75421366055,2023.04.16,22:01:00,22:04:40,1-0,BO,BO,2023-04-16 22:01:00
1270,claraqiu,Ravenclawfairy,https://www.chess.com/game/live/75309562703,2023.04.15,14:53:00,15:11:58,1-0,BO,BO,2023-04-15 14:53:00
824,TLPAWN,EmmaXLi,https://www.chess.com/game/live/75309203509,2023.04.15,14:50:09,15:25:28,1-0,BO,BO,2023-04-15 14:50:09
848,BurleyWalrus,xiaoanwu,https://www.chess.com/game/live/75309187763,2023.04.15,14:49:56,15:04:37,1-0,BO,BO,2023-04-15 14:49:56
1269,BurleyWalrus,claraqiu,https://www.chess.com/game/live/75165101887,2023.04.13,22:47:19,22:56:19,0-1,BO,BO,2023-04-13 22:47:19
1184,Marsboom,Ravenclawfairy,https://www.chess.com/game/live/74906584255,2023.04.10,23:01:03,23:32:33,1-0,BO,BO,2023-04-10 23:01:03
982,zora_zhu,akfunchess66,https://www.chess.com/game/live/74704366577,2023.04.08,14:48:23,14:54:49,0-1,BO,BO,2023-04-08 14:48:23
817,TLPAWN,xiaoanwu,https://www.chess.com/game/live/74704368459,2023.04.08,14:48:17,15:08:18,1-0,BO,BO,2023-04-08 14:48:17
632,AGcuber19,EmmaXLi,https://www.chess.com/game/live/74704364913,2023.04.08,14:47:59,15:29:00,0-1,BO,BO,2023-04-08 14:47:59
901,zora_zhu,EmmaXLi,https://www.chess.com/game/live/74099582487,2023.04.01,14:49:04,14:57:17,0-1,BO,BO,2023-04-01 14:49:04
975,akfunchess66,Ravenclawfairy,https://www.chess.com/game/live/74099557653,2023.04.01,14:48:33,14:51:28,1-0,BO,BO,2023-04-01 14:48:33
814,TLPAWN,BurleyWalrus,https://www.chess.com/game/live/74099579349,2023.04.01,14:48:51,15:14:35,1-0,BO,BO,2023-04-01 14:48:51
1182,Marsboom,claraqiu,https://www.chess.com/game/live/74099572349,2023.04.01,14:48:52,14:50:56,1-0,BO,BO,2023-04-01 14:48:52
628,AGcuber19,xiaoanwu,https://www.chess.com/game/live/74099581619,2023.04.01,14:49:01,14:58:21,1-0,BO,BO,2023-04-01 14:49:01
974,akfunchess66,claraqiu,https://www.chess.com/game/live/73955453677,2023.03.30,22:47:19,23:11:03,1-0,BO,BO,2023-03-30 22:47:19
845,zora_zhu,xiaoanwu,https://www.chess.com/game/live/73494662647,2023.03.25,14:45:47,14:54:10,1-0,BO,BO,2023-03-25 14:45:47
900,Ravenclawfairy,EmmaXLi,https://www.chess.com/game/live/73494716465,2023.03.25,14:47:22,15:08:19,0-1,BO,BO,2023-03-25 14:47:22
1164,Marsboom,BurleyWalrus,https://www.chess.com/game/live/73494715949,2023.03.25,14:47:18,15:09:32,1/2-1/2,BO,BO,2023-03-25 14:47:18
623,AGcuber19,TLPAWN,https://www.chess.com/game/live/73494643837,2023.03.25,14:45:13,15:07:36,1-0,BO,BO,2023-03-25 14:45:13
973,akfunchess66,Marsboom,https://www.chess.com/game/live/73263239591,2023.03.22,22:28:03,22:47:05,1/2-1/2,BO,BO,2023-03-22 22:28:03
620,AGcuber19,BurleyWalrus,https://www.chess.com/game/live/72979035083,2023.03.19,15:33:12,15:47:15,1-0,BO,BO,2023-03-19 15:33:12
799,zora_zhu,TLPAWN,https://www.chess.com/game/live/72890074325,2023.03.18,14:48:49,15:00:27,0-1,BO,BO,2023-03-18 14:48:49
844,xiaoanwu,Ravenclawfairy,https://www.chess.com/game/live/72890043905,2023.03.18,14:47:52,14:54:32,0-1,BO,BO,2023-03-18 14:47:52
896,claraqiu,EmmaXLi,https://www.chess.com/game/live/72890027993,2023.03.18,14:47:24,14:59:21,0-1,BO,BO,2023-03-18 14:47:24
965,Marsboom,akfunchess66,https://www.chess.com/game/live/72890049395,2023.03.18,14:48:08,15:01:52,1-0,BO,BO,2023-03-18 14:48:08
964,akfunchess66,Marsboom,https://www.chess.com/game/live/72659043451,2023.03.15,22:41:21,22:44:36,1-0,BO,BO,2023-03-15 22:41:21
963,Marsboom,akfunchess66,https://www.chess.com/game/live/72659005585,2023.03.15,22:39:58,22:40:58,1-0,BO,BO,2023-03-15 22:39:58
843,claraqiu,xiaoanwu,https://www.chess.com/game/live/72288769873,2023.03.11,15:47:33,15:59:37,0-1,BO,BO,2023-03-11 15:47:33
958,akfunchess66,BurleyWalrus,https://www.chess.com/game/live/72288778971,2023.03.11,15:48:55,16:03:12,1-0,BO,BO,2023-03-11 15:48:55
797,TLPAWN,Ravenclawfairy,https://www.chess.com/game/live/72289320365,2023.03.11,15:56:14,15:56:43,1-0,BO,BO,2023-03-11 15:56:14
890,EmmaXLi,Marsboom,https://www.chess.com/game/live/72288743205,2023.03.11,15:47:05,16:14:36,1-0,BO,BO,2023-03-11 15:47:05
600,AGcuber19,zora_zhu,https://www.chess.com/game/live/72288733135,2023.03.11,15:46:18,16:01:16,1/2-1/2,BO,BO,2023-03-11 15:46:18
956,akfunchess66,Marsboom,https://www.chess.com/game/live/72057332885,2023.03.08,23:34:57,23:47:31,1/2-1/2,BO,BO,2023-03-08 23:34:57
888,akfunchess66,EmmaXLi,https://www.chess.com/game/live/71886132481,2023.03.06,23:56:50,00:24:18,0-1,BO,BO,2023-03-06 23:56:50
1353,zora_zhu,BurleyWalrus,https://www.chess.com/game/live/71684213609,2023.03.04,15:53:41,16:10:27,1-0,BO,BO,2023-03-04 15:53:41
795,claraqiu,TLPAWN,https://www.chess.com/game/live/71684633249,2023.03.04,15:58:53,16:19:33,0-1,BO,BO,2023-03-04 15:58:53
842,Marsboom,xiaoanwu,https://www.chess.com/game/live/71684103925,2023.03.04,15:50:59,15:52:39,1-0,BO,BO,2023-03-04 15:50:59
593,AGcuber19,Ravenclawfairy,https://www.chess.com/game/live/71684058319,2023.03.04,15:49:47,15:58:34,1-0,BO,BO,2023-03-04 15:49:47
948,Marsboom,akfunchess66,https://www.chess.com/game/live/71452323607,2023.03.01,23:26:25,23:42:34,1-0,BO,BO,2023-03-01 23:26:25
1292,zora_zhu,Ravenclawfairy,https://www.chess.com/game/live/71079293417,2023.02.25,15:50:01,15:58:52,0-1,BO,BO,2023-02-25 15:50:01
841,xiaoanwu,akfunchess66,https://www.chess.com/game/live/71079276717,2023.02.25,15:49:21,16:09:11,0-1,BO,BO,2023-02-25 15:49:21
789,TLPAWN,Marsboom,https://www.chess.com/game/live/71079289769,2023.02.25,15:49:42,16:21:04,0-1,BO,BO,2023-02-25 15:49:42
881,BurleyWalrus,EmmaXLi,https://www.chess.com/game/live/71079301573,2023.02.25,15:50:01,15:58:41,1-0,BO,BO,2023-02-25 15:50:01
586,AGcuber19,claraqiu,https://www.chess.com/game/live/71079255539,2023.02.25,15:48:31,16:12:58,1-0,BO,BO,2023-02-25 15:48:31
840,EmmaXLi,xiaoanwu,https://www.chess.com/game/live/70583089423,2023.02.19,22:01:53,22:10:36,1-0,BO,BO,2023-02-19 22:01:53
1233,zora_zhu,claraqiu,https://www.chess.com/game/live/70474543211,2023.02.18,15:52:20,15:57:12,1-0,BO,BO,2023-02-18 15:52:20
1234,claraqiu,zora_zhu,https://www.chess.com/game/live/70474979353,2023.02.18,15:57:42,16:24:09,0-1,BO,BO,2023-02-18 15:57:42
781,akfunchess66,TLPAWN,https://www.chess.com/game/live/70474496325,2023.02.18,15:51:20,16:19:38,0-1,BO,BO,2023-02-18 15:51:20
578,Marsboom,AGcuber19,https://www.chess.com/game/live/70474565005,2023.02.18,15:52:54,16:13:00,1-0,BO,BO,2023-02-18 15:52:54
1290,BurleyWalrus,Ravenclawfairy,https://www.chess.com/game/live/70474503777,2023.02.18,15:51:19,16:06:53,1-0,BO,BO,2023-02-18 15:51:19
2423,lunathekitsune,vivianwwww20,https://www.chess.com/game/live/75403755871,2023.04.16,17:02:52,17:15:11,0-1,AN,AN,2023-04-16 17:02:52
2643,ZhichengW,Haochen1123,https://www.chess.com/game/live/75388863305,2023.04.16,12:56:29,13:02:40,1/2-1/2,AN,AN,2023-04-16 12:56:29
2411,ChloeWang16,cathye1,https://www.chess.com/game/live/75402015061,2023.04.16,16:34:42,17:04:15,0-1,AN,AN,2023-04-16 16:34:42
2410,vivianwwww20,cathye1,https://www.chess.com/game/live/75175348659,2023.04.14,01:40:13,02:20:20,0-1,AN,AN,2023-04-14 01:40:13
2511,ChloeWang16,jaydenlan0118,https://www.chess.com/game/live/74801104703,2023.04.09,17:42:40,18:05:43,1-0,AN,AN,2023-04-09 17:42:40
2622,ImRacoonie,ZhichengW,https://www.chess.com/game/live/74713451705,2023.04.08,17:20:25,17:37:36,0-1,AN,AN,2023-04-08 17:20:25
2566,Haochen1123,Tyzalex,https://www.chess.com/game/live/74713494841,2023.04.08,17:22:23,17:32:17,1/2-1/2,AN,AN,2023-04-08 17:22:23
2422,lunathekitsune,ImRacoonie,https://www.chess.com/game/live/74108495113,2023.04.01,17:16:25,17:30:47,1/2-1/2,AN,AN,2023-04-01 17:16:25
2471,jaydenlan0118,vivianwwww20,https://www.chess.com/game/live/74112021369,2023.04.01,18:14:30,18:21:41,0-1,AN,AN,2023-04-01 18:14:30
2560,Tyzalex,ZhichengW,https://www.chess.com/game/live/74108630095,2023.04.01,17:20:25,17:28:16,1-0,AN,AN,2023-04-01 17:20:25
2508,Haochen1123,ChloeWang16,https://www.chess.com/game/live/74125398781,2023.04.01,22:02:28,22:20:56,0-1,AN,AN,2023-04-01 22:02:28
2406,lunathekitsune,cathye1,https://www.chess.com/game/live/73529522691,2023.03.26,00:30:28,00:38:55,0-1,AN,AN,2023-03-26 00:30:28
2470,vivianwwww20,Haochen1123,https://www.chess.com/game/live/73503733769,2023.03.25,17:18:09,17:32:28,1-0,AN,AN,2023-03-25 17:18:09
2504,ZhichengW,ChloeWang16,https://www.chess.com/game/live/73504261655,2023.03.25,17:25:49,17:39:00,0-1,AN,AN,2023-03-25 17:25:49
2559,Tyzalex,ImRacoonie,https://www.chess.com/game/live/73503815063,2023.03.25,17:20:11,17:40:59,1/2-1/2,AN,AN,2023-03-25 17:20:11
2405,ImRacoonie,cathye1,https://www.chess.com/game/live/72923790833,2023.03.19,00:15:04,00:39:26,1-0,AN,AN,2023-03-19 00:15:04
2420,jaydenlan0118,lunathekitsune,https://www.chess.com/game/live/72898752341,2023.03.18,17:16:50,17:21:42,1-0,AN,AN,2023-03-18 17:16:50
2469,ZhichengW,vivianwwww20,https://www.chess.com/game/live/72898534299,2023.03.18,17:10:32,17:28:23,1/2-1/2,AN,AN,2023-03-18 17:10:32
2501,ChloeWang16,Tyzalex,https://www.chess.com/game/live/72910528813,2023.03.18,20:30:54,21:01:52,0-1,AN,AN,2023-03-18 20:30:54
2496,ImRacoonie,ChloeWang16,https://www.chess.com/game/live/72748327143,2023.03.16,23:27:32,23:47:36,0-1,AN,AN,2023-03-16 23:27:32
2404,jaydenlan0118,cathye1,https://www.chess.com/game/live/72379309487,2023.03.12,16:56:18,17:09:50,0-1,AN,AN,2023-03-12 16:56:18
2468,vivianwwww20,Tyzalex,https://www.chess.com/game/live/72297810795,2023.03.11,18:18:59,18:44:06,0-1,AN,AN,2023-03-11 18:18:59
2419,lunathekitsune,Haochen1123,https://www.chess.com/game/live/72297818845,2023.03.11,18:19:14,18:25:45,1-0,AN,AN,2023-03-11 18:19:14
