,username,end_time,white_username,black_username,Result,StartTime
81,tianminlyu,20:33:57,Muhammad2888,tianminlyu,1-0,20:25:12
82,tianminlyu,23:37:14,tianminlyu,HABAKUK319,1-0,23:34:45
83,tianminlyu,23:43:14,neighHorsey,tianminlyu,0-1,23:37:23
84,tianminlyu,23:51:52,tianminlyu,qlucka,1-0,23:43:54
85,tianminlyu,23:58:58,tianminlyu,OsvaldoButti,1-0,23:52:24
0,tianminlyu,08:30:23,Kari66,tianminlyu,1/2-1/2,08:21:34
1,tianminlyu,09:27:09,tianminlyu,Kantemir-08,0-1,09:21:00
2,tianminlyu,11:54:20,Gloumir,tianminlyu,1-0,11:46:15
3,tianminlyu,12:05:46,adamchuk88,tianminlyu,1-0,11:54:24
4,tianminlyu,13:25:57,tianminlyu,maxifargo,0-1,13:17:27
5,tianminlyu,13:34:58,tianminlyu,TaStar,0-1,13:28:42
6,tianminlyu,13:43:09,EtheridgeKnight,tianminlyu,0-1,13:35:20
7,tianminlyu,22:47:56,tianminlyu,gussarom,1-0,22:39:34
8,tianminlyu,23:04:46,tianminlyu,Zonghengluanshi,1-0,22:48:25
9,tianminlyu,10:25:13,Danielosmith,tianminlyu,1/2-1/2,10:09:06
10,tianminlyu,11:56:46,tianminlyu,TANGJINCONG,1-0,11:45:17
11,tianminlyu,20:56:30,AlainKeyrouz,tianminlyu,0-1,20:25:59
12,tianminlyu,21:49:24,HammerChess15,tianminlyu,0-1,21:42:19
13,tianminlyu,22:20:30,sentcics,tianminlyu,0-1,21:50:49
14,tianminlyu,22:40:05,tianminlyu,MightyJoe001,0-1,22:21:39
15,tianminlyu,18:58:48,chss2356333,tianminlyu,0-1,18:51:19
16,tianminlyu,19:06:54,tianminlyu,Vintageblack,1-0,18:58:57
17,tianminlyu,19:37:11,riobicajet,tianminlyu,0-1,19:28:34
18,tianminlyu,19:49:24,tianminlyu,karandutt-moudgil,1-0,19:37:48
19,tianminlyu,19:54:21,tianminlyu,Waluliso,1-0,19:49:49
20,tianminlyu,20:10:54,tianminlyu,Rahul20008375,1-0,19:54:42
21,tianminlyu,20:20:52,henryk1957,tianminlyu,0-1,20:11:54
22,tianminlyu,20:52:36,IgorGolduban,tianminlyu,0-1,20:21:27
