,player,AGcuber19,Ravenclawfairy,TLPAWN,akfunchess66,claraqiu,Marsboom,xiaoanwu,zora_zhu
0,AGcuber19,,,,,1.0,0.0,,
1,Marsboom,1.0,,,,,,,
2,Ravenclawfairy,,,,,,,,1.0
3,TLPAWN,,,,1.0,,,,
4,akfunchess66,,,0.0,,,,1.0,
5,claraqiu,0.0,,,,,,,0.0
6,xiaoanwu,,,,0.0,,,,
7,zora_zhu,,0.0,,,1.0,,,
