,player,AliceCLi,DDisawesome,Oscarzhang818,SophiaZ2022,augustinewz,james2945,taionemm,wallacewang1214,yaohengli,yumitang,score
0,AliceCLi,,,,,0.0,1.0,1.0,,,,2.0
1,DDisawesome,,,,,,0.0,,,0.5,0.0,0.5
2,Oscarzhang818,,,,1.0,,,,1.0,1.0,,3.0
3,SophiaZ2022,,,0.0,,0.0,,0.5,,,,0.5
4,augustinewz,,,,1.0,,,,1.0,,,2.0
5,james2945,,1.0,,,,,,,,0.5,1.5
6,taionemm,,,,0.5,,,,,,0.0,0.5
7,wallacewang1214,,,0.0,,0.0,,,,0.0,,0.0
8,yaohengli,,0.5,0.0,,,,,1.0,,,1.5
9,yumitang,,1.0,,,,0.5,1.0,,,,2.5
