,player,AliceCLi,DDisawesome,yaohengli,yumitang,james2945
0,AliceCLi,,,,,1.0
1,DDisawesome,,,0.5,0.0,0.0
2,james2945,0.0,1.0,,0.5,
3,yaohengli,,0.5,,,
4,yumitang,,1.0,,,0.5
